TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:23:12 GMT+0400 (Gulf Standard Time),57546438,3205
Sun Aug 16 2020 16:23:15 GMT+0400 (Gulf Standard Time),57546439,2957
Sun Aug 16 2020 16:23:18 GMT+0400 (Gulf Standard Time),57546440,2959
Sun Aug 16 2020 16:23:24 GMT+0400 (Gulf Standard Time),57546441,5928
Sun Aug 16 2020 16:23:27 GMT+0400 (Gulf Standard Time),57546442,2989
Sun Aug 16 2020 16:23:30 GMT+0400 (Gulf Standard Time),57546443,3169
Sun Aug 16 2020 16:23:36 GMT+0400 (Gulf Standard Time),57546444,5927
Sun Aug 16 2020 16:23:39 GMT+0400 (Gulf Standard Time),57546445,2958
Sun Aug 16 2020 16:23:42 GMT+0400 (Gulf Standard Time),57546446,2988
Sun Aug 16 2020 16:23:48 GMT+0400 (Gulf Standard Time),57546447,6021
Sun Aug 16 2020 16:23:51 GMT+0400 (Gulf Standard Time),57546448,2992
Sun Aug 16 2020 16:23:54 GMT+0400 (Gulf Standard Time),57546449,3131
Sun Aug 16 2020 16:23:57 GMT+0400 (Gulf Standard Time),57546450,3041
Sun Aug 16 2020 16:24:03 GMT+0400 (Gulf Standard Time),57546451,5951
Sun Aug 16 2020 16:24:06 GMT+0400 (Gulf Standard Time),57546452,3028
Sun Aug 16 2020 16:24:09 GMT+0400 (Gulf Standard Time),57546453,2971
Sun Aug 16 2020 16:24:15 GMT+0400 (Gulf Standard Time),57546454,6046
Sun Aug 16 2020 16:24:18 GMT+0400 (Gulf Standard Time),57546455,2813
Sun Aug 16 2020 16:24:21 GMT+0400 (Gulf Standard Time),57546456,3008
Sun Aug 16 2020 16:24:27 GMT+0400 (Gulf Standard Time),57546457,6043
Sun Aug 16 2020 16:24:30 GMT+0400 (Gulf Standard Time),57546458,3121
Sun Aug 16 2020 16:24:33 GMT+0400 (Gulf Standard Time),57546459,2980
Sun Aug 16 2020 16:24:37 GMT+0400 (Gulf Standard Time),57546460,3052
Sun Aug 16 2020 16:24:42 GMT+0400 (Gulf Standard Time),57546461,5821
Sun Aug 16 2020 16:24:45 GMT+0400 (Gulf Standard Time),57546462,2967
Sun Aug 16 2020 16:24:48 GMT+0400 (Gulf Standard Time),57546463,3187
Sun Aug 16 2020 16:24:51 GMT+0400 (Gulf Standard Time),57546464,2986
Sun Aug 16 2020 16:24:57 GMT+0400 (Gulf Standard Time),57546465,5979
Sun Aug 16 2020 16:25:00 GMT+0400 (Gulf Standard Time),57546466,2986
Sun Aug 16 2020 16:25:03 GMT+0400 (Gulf Standard Time),57546467,2902
Sun Aug 16 2020 16:25:10 GMT+0400 (Gulf Standard Time),57546468,6308
Sun Aug 16 2020 16:25:12 GMT+0400 (Gulf Standard Time),57546469,2766
Sun Aug 16 2020 16:25:15 GMT+0400 (Gulf Standard Time),57546470,2973
Sun Aug 16 2020 16:25:21 GMT+0400 (Gulf Standard Time),57546471,6063
Sun Aug 16 2020 16:25:24 GMT+0400 (Gulf Standard Time),57546472,3044
Sun Aug 16 2020 16:25:27 GMT+0400 (Gulf Standard Time),57546473,3004
Sun Aug 16 2020 16:25:33 GMT+0400 (Gulf Standard Time),57546474,5978
Sun Aug 16 2020 16:25:36 GMT+0400 (Gulf Standard Time),57546475,2908
Sun Aug 16 2020 16:25:39 GMT+0400 (Gulf Standard Time),57546476,2969
Sun Aug 16 2020 16:25:43 GMT+0400 (Gulf Standard Time),57546477,3158
Sun Aug 16 2020 16:25:49 GMT+0400 (Gulf Standard Time),57546478,6170
Sun Aug 16 2020 16:25:51 GMT+0400 (Gulf Standard Time),57546479,2759
Sun Aug 16 2020 16:25:54 GMT+0400 (Gulf Standard Time),57546480,2930
Sun Aug 16 2020 16:26:00 GMT+0400 (Gulf Standard Time),57546481,6023
Sun Aug 16 2020 16:26:04 GMT+0400 (Gulf Standard Time),57546482,3223
Sun Aug 16 2020 16:26:07 GMT+0400 (Gulf Standard Time),57546483,2911
Sun Aug 16 2020 16:26:13 GMT+0400 (Gulf Standard Time),57546484,6042
Sun Aug 16 2020 16:26:16 GMT+0400 (Gulf Standard Time),57546485,2962
Sun Aug 16 2020 16:26:19 GMT+0400 (Gulf Standard Time),57546486,3029
Sun Aug 16 2020 16:26:25 GMT+0400 (Gulf Standard Time),57546487,5980
Sun Aug 16 2020 16:26:28 GMT+0400 (Gulf Standard Time),57546488,2997
Sun Aug 16 2020 16:26:31 GMT+0400 (Gulf Standard Time),57546489,3054
Sun Aug 16 2020 16:26:36 GMT+0400 (Gulf Standard Time),57546490,5902
Sun Aug 16 2020 16:26:39 GMT+0400 (Gulf Standard Time),57546491,2929
Sun Aug 16 2020 16:26:43 GMT+0400 (Gulf Standard Time),57546492,3150
Sun Aug 16 2020 16:26:46 GMT+0400 (Gulf Standard Time),57546493,2949
Sun Aug 16 2020 16:26:51 GMT+0400 (Gulf Standard Time),57546494,5862
Sun Aug 16 2020 16:26:54 GMT+0400 (Gulf Standard Time),57546495,3057
Sun Aug 16 2020 16:26:57 GMT+0400 (Gulf Standard Time),57546496,2955
Sun Aug 16 2020 16:27:04 GMT+0400 (Gulf Standard Time),57546497,6230
Sun Aug 16 2020 16:27:06 GMT+0400 (Gulf Standard Time),57546498,2868
Sun Aug 16 2020 16:27:09 GMT+0400 (Gulf Standard Time),57546499,2948
Sun Aug 16 2020 16:27:16 GMT+0400 (Gulf Standard Time),57546500,6112
Sun Aug 16 2020 16:27:19 GMT+0400 (Gulf Standard Time),57546501,3058
Sun Aug 16 2020 16:27:22 GMT+0400 (Gulf Standard Time),57546502,2984
Sun Aug 16 2020 16:27:27 GMT+0400 (Gulf Standard Time),57546503,5834
Sun Aug 16 2020 16:27:30 GMT+0400 (Gulf Standard Time),57546504,3027
Sun Aug 16 2020 16:27:34 GMT+0400 (Gulf Standard Time),57546505,3123
Sun Aug 16 2020 16:27:39 GMT+0400 (Gulf Standard Time),57546506,5879
Sun Aug 16 2020 16:27:43 GMT+0400 (Gulf Standard Time),57546507,3088
Sun Aug 16 2020 16:27:46 GMT+0400 (Gulf Standard Time),57546508,2970
Sun Aug 16 2020 16:27:52 GMT+0400 (Gulf Standard Time),57546509,6177
Sun Aug 16 2020 16:27:55 GMT+0400 (Gulf Standard Time),57546510,2917
Sun Aug 16 2020 16:27:58 GMT+0400 (Gulf Standard Time),57546511,3216
Sun Aug 16 2020 16:28:01 GMT+0400 (Gulf Standard Time),57546512,2871
Sun Aug 16 2020 16:28:07 GMT+0400 (Gulf Standard Time),57546513,5873
Sun Aug 16 2020 16:28:09 GMT+0400 (Gulf Standard Time),57546514,2914
Sun Aug 16 2020 16:28:16 GMT+0400 (Gulf Standard Time),57546515,6228
Sun Aug 16 2020 16:28:19 GMT+0400 (Gulf Standard Time),57546516,2965
Sun Aug 16 2020 16:28:22 GMT+0400 (Gulf Standard Time),57546517,3026
Sun Aug 16 2020 16:28:25 GMT+0400 (Gulf Standard Time),57546518,2903
Sun Aug 16 2020 16:28:31 GMT+0400 (Gulf Standard Time),57546519,5967
Sun Aug 16 2020 16:28:33 GMT+0400 (Gulf Standard Time),57546520,2907
Sun Aug 16 2020 16:28:37 GMT+0400 (Gulf Standard Time),57546521,3029
Sun Aug 16 2020 16:28:43 GMT+0400 (Gulf Standard Time),57546522,6164
Sun Aug 16 2020 16:28:46 GMT+0400 (Gulf Standard Time),57546523,3036
Sun Aug 16 2020 16:28:49 GMT+0400 (Gulf Standard Time),57546524,2965
Sun Aug 16 2020 16:28:55 GMT+0400 (Gulf Standard Time),57546525,5999
Sun Aug 16 2020 16:28:58 GMT+0400 (Gulf Standard Time),57546526,3087
Sun Aug 16 2020 16:29:01 GMT+0400 (Gulf Standard Time),57546527,2965
Sun Aug 16 2020 16:29:06 GMT+0400 (Gulf Standard Time),57546528,5762
Sun Aug 16 2020 16:29:09 GMT+0400 (Gulf Standard Time),57546529,3012
Sun Aug 16 2020 16:29:13 GMT+0400 (Gulf Standard Time),57546530,3044
Sun Aug 16 2020 16:29:19 GMT+0400 (Gulf Standard Time),57546531,6119
Sun Aug 16 2020 16:29:22 GMT+0400 (Gulf Standard Time),57546532,3058
Sun Aug 16 2020 16:29:25 GMT+0400 (Gulf Standard Time),57546533,3069
Sun Aug 16 2020 16:29:28 GMT+0400 (Gulf Standard Time),57546534,2838
Sun Aug 16 2020 16:29:34 GMT+0400 (Gulf Standard Time),57546535,6040
